          Dimensions           Particles         Metro-steps          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                 100             1048576             0.55000             0.50000             2.82843           266.31496             1.04495             1.09193             0.50000                   0             0.50000             2.82843
                   3                 100             1048576             0.55000             0.49621             2.82843           266.31415             1.00884             1.01775             0.50000                   1             0.49621             2.82843
                   3                 100             1048576             0.55000             0.49312             2.82843           266.21161             0.97734             0.95520             0.50000                   2             0.49312             2.82843
                   3                 100             1048576             0.55000             0.49074             2.82843           266.22001             0.96841             0.93782             0.50000                   3             0.49074             2.82843
                   3                 100             1048576             0.55000             0.48884             2.82843           266.21941             0.99597             0.99195             0.50000                   4             0.48884             2.82843
                   3                 100             1048576             0.55000             0.48645             2.82843           266.17421             1.03639             1.07411             0.50000                   6             0.48645             2.82843
                   3                 100             1048576             0.55000             0.48576             2.82843           266.22486             0.99420             0.98844             0.50000                   7             0.48576             2.82843
                   3                 100             1048576             0.55000             0.48503             2.82843           266.22652             1.00091             1.00183             0.50000                   8             0.48503             2.82843
                   3                 100             1048576             0.55000             0.48464             2.82843           266.16077             1.03050             1.06192             0.50000                   9             0.48464             2.82843
                   3                 100             1048576             0.55000             0.48423             2.82843           266.19164             1.02126             1.04297             0.50000                  10             0.48423             2.82843
                   3                 100             1048576             0.55000             0.48401             2.82843           266.21094             1.16675             1.36130             0.50000                  11             0.48401             2.82843
                   3                 100             1048576             0.55000             0.48375             2.82843           266.20730             1.07458             1.15473             0.50000                  12             0.48375             2.82843
                   3                 100             1048576             0.55000             0.48345             2.82843           266.19304             1.06010             1.12382             0.50000                  13             0.48345             2.82843
                   3                 100             1048576             0.55000             0.48348             2.82843           266.21581             1.08099             1.16855             0.50000                  14             0.48348             2.82843
                   3                 100             1048576             0.55000             0.48336             2.82843           266.24679             1.06390             1.13188             0.50000                  15             0.48336             2.82843
                   3                 100             1048576             0.55000             0.48321             2.82843           266.17974             1.08220             1.17115             0.50000                  16             0.48321             2.82843
                   3                 100             1048576             0.55000             0.48300             2.82843           266.15008             1.02426             1.04911             0.50000                  17             0.48300             2.82843
                   3                 100             1048576             0.55000             0.48315             2.82843           266.21160             1.03954             1.08063             0.50000                  18             0.48315             2.82843
                   3                 100             1048576             0.55000             0.48325             2.82843           266.16525             1.03234             1.06572             0.50000                  19             0.48325             2.82843
                   3                 100             1048576             0.55000             0.48305             2.82843           266.16815             1.04296             1.08776             0.50000                  20             0.48305             2.82843
                   3                 100             1048576             0.55000             0.48286             2.82843           266.21511             1.09777             1.20509             0.50000                  21             0.48286             2.82843
                   3                 100             1048576             0.55000             0.48272             2.82843           266.12995             1.08929             1.18656             0.50000                  22             0.48272             2.82843
                   3                 100             1048576             0.55000             0.48280             2.82843           266.22470             1.06924             1.14327             0.50000                  23             0.48280             2.82843
                   3                 100             1048576             0.55000             0.48276             2.82843           266.19343             1.04542             1.09291             0.50000                  24             0.48276             2.82843
                   3                 100             1048576             0.55000             0.48265             2.82843           266.20648             1.06837             1.14141             0.50000                  25             0.48265             2.82843
                   3                 100             1048576             0.55000             0.48246             2.82843           266.18986             1.05533             1.11372             0.50000                  26             0.48246             2.82843
                   3                 100             1048576             0.55000             0.48265             2.82843           266.12863             1.11740             1.24857             0.50000                  27             0.48265             2.82843
                   3                 100             1048576             0.55000             0.48270             2.82843           266.20410             1.06713             1.13877             0.50000                  28             0.48270             2.82843
                   3                 100             1048576             0.55000             0.48273             2.82843           266.19745             1.05310             1.10903             0.50000                  29             0.48273             2.82843
                   3                 100             1048576             0.55000             0.48273             2.82843           266.19745             1.05310             1.10903             0.50000                  30             0.48273             2.82843
