          Dimensions           Particles         Metro-steps          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  50             1048576             0.55000             0.48939             1.00000            78.93822             0.10785             0.01163             0.50000                  41             0.48939             1.00000
                   3                  50             1048576             0.55000             0.48938             1.00000            78.93820             0.09240             0.00854             0.50000                  42             0.48938             1.00000
                   3                  50             1048576             0.55000             0.48936             1.00000            78.93894             0.09302             0.00865             0.50000                  43             0.48936             1.00000
                   3                  50             1048576             0.55000             0.48935             1.00000            78.94242             0.09394             0.00882             0.50000                  44             0.48935             1.00000
                   3                  50             1048576             0.55000             0.48932             1.00000            78.93863             0.29015             0.08419             0.50000                  45             0.48932             1.00000
                   3                  50             1048576             0.55000             0.48931             1.00000            78.94339             0.09739             0.00948             0.50000                  46             0.48931             1.00000
                   3                  50             1048576             0.55000             0.48930             1.00000            78.93961             0.10140             0.01028             0.50000                  47             0.48930             1.00000
                   3                  50             1048576             0.55000             0.48928             1.00000            78.93996             0.10273             0.01055             0.50000                  48             0.48928             1.00000
                   3                  50             1048576             0.55000             0.48928             1.00000            78.94106             0.11185             0.01251             0.50000                  49             0.48928             1.00000
                   3                  50             1048576             0.55000             0.48927             1.00000            78.94106             0.11185             0.01251             0.50000                  50             0.48927             1.00000
                   3                 100             1048576             0.55000             0.50000             1.00000           165.09023             0.52427             0.27485             0.50000                   0             0.50000             1.00000
                   3                 100             1048576             0.55000             0.49764             1.00000           165.11685             0.47254             0.22329             0.50000                   1             0.49764             1.00000
                   3                 100             1048576             0.55000             0.49554             1.00000           165.05659             0.70267             0.49374             0.50000                   2             0.49554             1.00000
                   3                 100             1048576             0.55000             0.49373             1.00000           165.04969             0.37187             0.13829             0.50000                   3             0.49373             1.00000
                   3                 100             1048576             0.55000             0.49205             1.00000           165.06818             0.33584             0.11279             0.50000                   4             0.49205             1.00000
                   3                 100             1048576             0.55000             0.49072             1.00000           165.03876             0.35514             0.12613             0.50000                   5             0.49072             1.00000
                   3                 100             1048576             0.55000             0.48968             1.00000           165.02233             0.27194             0.07395             0.50000                   6             0.48968             1.00000
                   3                 100             1048576             0.55000             0.48872             1.00000           165.03031             0.29578             0.08748             0.50000                   7             0.48872             1.00000
                   3                 100             1048576             0.55000             0.48791             1.00000           165.04311             0.24061             0.05789             0.50000                   8             0.48791             1.00000
                   3                 100             1048576             0.55000             0.48711             1.00000           165.03842             0.24278             0.05894             0.50000                   9             0.48711             1.00000
                   3                 100             1048576             0.55000             0.48646             1.00000           165.02722             0.21814             0.04759             0.50000                  10             0.48646             1.00000
                   3                 100             1048576             0.55000             0.48593             1.00000           165.01928             0.24428             0.05967             0.50000                  11             0.48593             1.00000
                   3                 100             1048576             0.55000             0.48547             1.00000           165.01963             0.22742             0.05172             0.50000                  12             0.48547             1.00000
