          Dimensions           Particles         Metro-steps            Eq-steps          StepLength                Time          Analytical              Energy          Energy_std
                   3                  15              122880                  32             0.20000              919176                   0            22.85988             0.72924
                   3                  15              122880                  16             0.20000              407408                   1            22.85954             0.72994
                   3                  15              122880                  32             0.20000              906116                   0            22.85988             0.72924
                   3                  15              122880                  16             0.20000              399314                   1            22.85954             0.72994
                   3                  15              122880                  32             0.20000              854949                   0            22.85988             0.72924
                   3                  15              122880                  16             0.20000              394446                   1            22.85954             0.72994
                   3                  15              122880                  32             0.20000              881378                   0            22.85988             0.72924
                   3                  15              122880                  16             0.20000              440031                   1            22.85954             0.72994
                   3                  15              122880                  32             0.20000              855969                   0            22.85988             0.72924
                   3                  20              163839                  16             0.20000              706615                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1451268                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              706297                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1462869                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              723273                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1453900                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              721213                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1495016                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              662509                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1479014                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              701650                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1468313                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              662553                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1489242                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              674951                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1629289                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              659257                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1650275                   0            30.48032             0.86815
                   3                  20              163839                  16             0.20000              664113                   1            30.47991             0.86897
                   3                  20              163839                  32             0.20000             1528713                   0            30.48032             0.86815
                   3                  25              204799                  16             0.20000             1037196                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2306775                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1039861                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2732624                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1138502                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2379396                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1129820                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2359573                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1168282                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2613054                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1185908                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2663352                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1018461                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2616505                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1191533                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2394865                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1123286                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2723052                   0            37.95636             0.92400
                   3                  25              204799                  16             0.20000             1142392                   1            37.95604             0.92494
                   3                  25              204799                  32             0.20000             2451598                   0            37.95636             0.92400
                   3                  30              245760                  16             0.20000             1555125                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             4271323                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1462460                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3919777                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1737648                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3407409                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1585192                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3422468                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1584992                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3888373                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1595823                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3474527                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1892459                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             4025878                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1703693                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3969181                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1649615                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             3565678                   0            45.60998             1.06718
                   3                  30              245760                  16             0.20000             1746218                   1            45.60958             1.06823
                   3                  30              245760                  32             0.20000             4349739                   0            45.60998             1.06718
                   3                  40              327679                  16             0.20000             2803115                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6838166                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2769156                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6585824                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2904418                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6218703                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2997094                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6459797                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2877688                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             7405871                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2930884                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6680986                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2706227                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             7863145                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2796900                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6871480                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2781013                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6574185                   0            60.85219             1.30245
                   3                  40              327679                  16             0.20000             2787417                   1            60.85187             1.30358
                   3                  40              327679                  32             0.20000             6978020                   0            60.85219             1.30245
                   3                  50              409599                  16             0.20000             4220644                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000             9816161                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             5398838                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            10264932                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4231285                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            10141061                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4615284                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            11209054                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4463118                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            10278052                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4973638                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000             9809770                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4241650                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            10307519                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4487582                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            10179044                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             3985100                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000             9866342                   0            75.79117             1.34995
                   3                  50              409599                  16             0.20000             4415160                   1            75.79084             1.35127
                   3                  50              409599                  32             0.20000            10312202                   0            75.79117             1.34995
